,Reasons Group 1,Reasons Group 2,Reasons Group 3,Reasons Group 4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,0,1,07/07/2015,289,36,33,239.554,30,1,2,1,4
1,0,0,0,0,14/07/2015,118,13,50,239.554,31,1,1,0,0
2,0,0,0,1,15/07/2015,179,51,38,239.554,31,1,0,0,2
3,1,0,0,0,16/07/2015,279,5,39,239.554,24,1,2,0,4
4,0,0,0,1,23/07/2015,289,36,33,239.554,30,1,2,1,2
5,0,0,0,1,10/07/2015,179,51,38,239.554,31,1,0,0,2
6,0,0,0,1,17/07/2015,361,52,28,239.554,27,1,1,4,8
7,0,0,0,1,24/07/2015,260,50,36,239.554,23,1,4,0,4
8,0,0,1,0,06/07/2015,155,12,34,239.554,25,1,2,0,40
9,0,0,0,1,13/07/2015,235,11,37,239.554,29,3,1,1,8
10,1,0,0,0,20/07/2015,260,50,36,239.554,23,1,4,0,8
11,1,0,0,0,14/07/2015,260,50,36,239.554,23,1,4,0,8
12,1,0,0,0,15/07/2015,260,50,36,239.554,23,1,4,0,8
13,1,0,0,0,15/07/2015,179,51,38,239.554,31,1,0,0,1
14,0,0,0,1,15/07/2015,179,51,38,239.554,31,1,0,0,4
15,1,0,0,0,17/07/2015,246,25,41,239.554,23,1,0,0,8
16,0,0,0,1,17/07/2015,179,51,38,239.554,31,1,0,0,2
17,0,0,1,0,27/07/2015,179,51,38,239.554,31,1,0,0,8
18,1,0,0,0,30/07/2015,189,29,33,239.554,25,1,2,2,8
19,0,0,0,1,05/08/2015,248,25,47,205.917,32,1,2,1,2
20,1,0,0,0,12/08/2015,330,16,28,205.917,25,2,0,0,8
21,1,0,0,0,03/08/2015,179,51,38,205.917,31,1,0,0,1
22,1,0,0,0,10/08/2015,361,52,28,205.917,27,1,1,4,40
23,0,0,0,1,14/08/2015,260,50,36,205.917,23,1,4,0,4
24,0,0,1,0,17/08/2015,289,36,33,205.917,30,1,2,1,8
25,0,0,0,1,24/08/2015,361,52,28,205.917,27,1,1,4,7
26,0,0,0,1,04/08/2015,289,36,33,205.917,30,1,2,1,1
27,0,0,0,1,12/08/2015,157,27,29,205.917,22,1,0,0,4
28,0,0,1,0,19/08/2015,289,36,33,205.917,30,1,2,1,8
29,0,0,0,1,28/08/2015,179,51,38,205.917,31,1,0,0,2
30,0,0,1,0,17/08/2015,179,51,38,205.917,31,1,0,0,8
31,0,0,1,0,27/08/2015,235,29,48,205.917,33,1,1,5,8
32,0,0,0,1,27/08/2015,235,11,37,205.917,29,3,1,1,4
33,0,0,1,0,17/08/2015,235,29,48,205.917,33,1,1,5,8
34,0,0,0,1,17/08/2015,179,51,38,205.917,31,1,0,0,2
35,0,0,0,1,17/08/2015,361,52,28,205.917,27,1,1,4,1
36,0,0,0,1,04/08/2015,289,36,33,205.917,30,1,2,1,8
37,1,0,0,0,20/08/2015,291,50,32,205.917,23,1,0,0,4
38,0,0,0,1,21/08/2015,235,29,48,205.917,33,1,1,5,8
39,0,0,0,1,28/08/2015,260,50,36,205.917,23,1,4,0,4
40,0,0,0,1,01/09/2015,184,42,27,241.476,21,1,0,0,2
41,0,0,0,1,07/09/2015,118,10,37,241.476,28,1,0,0,4
42,0,0,0,1,01/09/2015,179,51,38,241.476,31,1,0,0,4
43,0,0,1,0,08/09/2015,235,20,43,241.476,38,1,1,0,8
44,0,0,0,1,09/09/2015,155,12,34,241.476,25,1,2,0,2
45,0,0,0,1,13/09/2015,118,10,37,241.476,28,1,0,0,3
46,0,0,0,1,14/09/2015,179,51,38,241.476,31,1,0,0,3
47,0,0,0,1,24/09/2015,291,31,40,241.476,25,1,1,1,4
48,0,0,0,1,04/09/2015,260,50,36,241.476,23,1,4,0,8
49,1,0,0,0,14/09/2015,291,31,40,241.476,25,1,1,1,32
50,0,0,0,0,21/09/2015,260,50,36,241.476,23,1,4,0,0
51,0,0,0,0,28/09/2015,225,26,28,241.476,24,1,1,2,0
52,0,0,0,1,08/09/2015,225,26,28,241.476,24,1,1,2,2
53,0,0,0,1,15/09/2015,118,10,37,241.476,28,1,0,0,2
54,0,0,0,0,22/09/2015,289,36,33,241.476,30,1,2,1,0
55,0,0,0,0,29/09/2015,118,13,50,241.476,31,1,1,0,0
56,0,0,1,0,16/09/2015,225,26,28,241.476,24,1,1,2,3
57,0,0,0,1,23/09/2015,179,51,38,241.476,31,1,0,0,3
58,0,0,0,0,30/09/2015,369,17,31,241.476,25,1,3,0,0
59,0,0,0,1,11/09/2015,248,25,47,241.476,32,1,2,1,1
60,0,0,0,1,18/09/2015,179,51,38,241.476,31,1,0,0,3
61,0,0,0,1,25/09/2015,260,50,36,241.476,23,1,4,0,4
62,0,0,0,1,06/10/2015,179,51,38,253.465,31,1,0,0,3
63,0,0,0,1,13/10/2015,118,10,37,253.465,28,1,0,0,3
64,0,0,0,0,14/10/2015,118,13,50,253.465,31,1,1,0,0
65,0,0,0,1,15/10/2015,179,26,30,253.465,19,3,0,0,1
66,0,0,0,1,16/10/2015,179,51,38,253.465,31,1,0,0,3
67,0,0,0,1,16/10/2015,225,26,28,253.465,24,1,1,2,3
68,0,0,0,1,06/10/2015,118,10,37,253.465,28,1,0,0,3
69,0,0,0,1,14/10/2015,225,26,28,253.465,24,1,1,2,2
70,0,0,0,1,21/10/2015,248,25,47,253.465,32,1,2,1,2
71,0,0,0,1,22/10/2015,291,31,40,253.465,25,1,1,1,5
72,0,0,0,1,21/10/2015,179,51,38,253.465,31,1,0,0,8
73,0,0,0,1,21/10/2015,225,26,28,253.465,24,1,1,2,3
74,0,0,1,0,22/10/2015,260,50,36,253.465,23,1,4,0,16
75,1,0,0,0,13/10/2015,291,31,40,253.465,25,1,1,1,8
76,0,0,0,1,20/10/2015,225,26,28,253.465,24,1,1,2,2
77,0,0,0,1,21/10/2015,289,36,33,253.465,30,1,2,1,8
78,0,0,0,1,23/10/2015,361,52,28,253.465,27,1,1,4,1
79,0,0,0,1,30/10/2015,260,50,36,253.465,23,1,4,0,3
80,0,0,0,1,05/11/2015,179,51,38,306.345,31,1,0,0,1
81,0,0,0,1,04/11/2015,225,26,28,306.345,24,1,1,2,1
82,1,0,0,0,05/11/2015,179,51,38,306.345,31,1,0,0,8
83,0,0,1,0,12/11/2015,179,22,40,306.345,22,2,2,0,8
84,0,0,0,1,19/11/2015,291,31,40,306.345,25,1,1,1,5
85,1,0,0,0,02/11/2015,155,12,34,306.345,25,1,2,0,32
86,0,0,0,1,09/11/2015,189,29,33,306.345,25,1,2,2,8
87,1,0,0,0,16/11/2015,291,31,40,306.345,25,1,1,1,40
88,0,0,0,1,18/11/2015,225,26,28,306.345,24,1,1,2,1
89,1,0,0,0,20/11/2015,155,12,34,306.345,25,1,2,0,8
90,0,0,0,1,18/11/2015,225,26,28,306.345,24,1,1,2,3
91,0,0,1,0,25/11/2015,179,22,40,306.345,22,2,2,0,8
92,1,0,0,0,20/11/2015,225,26,28,306.345,24,1,1,2,3
93,0,0,0,1,27/11/2015,260,50,36,306.345,23,1,4,0,4
94,0,0,0,1,02/11/2015,248,25,47,306.345,32,1,2,1,1
95,0,0,0,1,10/11/2015,225,26,28,306.345,24,1,1,2,3
96,1,0,0,0,11/11/2015,289,36,33,306.345,30,1,2,1,24
97,0,0,0,1,26/11/2015,291,31,40,306.345,25,1,1,1,3
98,0,0,0,1,01/12/2015,248,25,47,261.306,32,1,2,1,1
99,0,0,1,0,01/12/2015,118,10,37,261.306,28,1,0,0,64
100,0,0,0,1,02/12/2015,118,13,50,261.306,31,1,1,0,2
101,0,0,0,1,02/12/2015,235,11,37,261.306,29,3,1,1,8
102,0,0,0,1,03/12/2015,225,26,28,261.306,24,1,1,2,2
103,0,0,0,1,04/12/2015,260,50,36,261.306,23,1,4,0,8
104,0,0,1,0,08/12/2015,118,10,37,261.306,28,1,0,0,56
105,0,0,0,1,09/12/2015,361,52,28,261.306,27,1,1,4,8
106,0,0,0,1,10/12/2015,225,26,28,261.306,24,1,1,2,3
107,0,0,0,1,11/12/2015,260,50,36,261.306,23,1,4,0,3
108,0,0,0,1,15/12/2015,225,26,28,261.306,24,1,1,2,2
109,0,0,0,1,16/12/2015,361,52,28,261.306,27,1,1,4,8
110,0,0,0,1,11/12/2015,118,10,37,261.306,28,1,0,0,2
111,0,0,1,0,18/12/2015,246,25,41,261.306,23,1,0,0,8
112,0,0,0,1,18/12/2015,225,26,28,261.306,24,1,1,2,2
113,0,0,0,1,06/01/2016,225,26,28,308.593,24,1,1,2,1
114,0,0,1,0,04/01/2016,118,10,37,308.593,28,1,0,0,1
115,0,0,0,1,05/01/2016,118,10,37,308.593,28,1,0,0,1
116,0,0,1,0,05/01/2016,155,12,34,308.593,25,1,2,0,8
117,0,0,0,1,06/01/2016,225,26,28,308.593,24,1,1,2,2
118,0,0,0,1,07/01/2016,184,42,27,308.593,21,1,0,0,2
119,0,0,0,1,07/01/2016,225,26,28,308.593,24,1,1,2,2
120,0,0,0,1,08/01/2016,225,26,28,308.593,24,1,1,2,1
121,0,0,0,1,11/01/2016,118,10,37,308.593,28,1,0,0,2
122,0,0,0,1,12/01/2016,225,26,28,308.593,24,1,1,2,2
123,0,0,0,1,12/01/2016,118,10,37,308.593,28,1,0,0,2
124,0,0,0,1,13/01/2016,118,10,37,308.593,28,1,0,0,2
125,0,0,0,1,14/01/2016,118,10,37,308.593,28,1,0,0,2
126,0,0,0,1,15/01/2016,118,10,37,308.593,28,1,0,0,2
127,0,0,0,1,11/01/2016,118,10,37,308.593,28,1,0,0,2
128,0,0,0,1,12/01/2016,118,10,37,308.593,28,1,0,0,2
129,0,0,1,0,12/01/2016,179,26,30,308.593,19,3,0,0,8
130,0,0,1,0,12/01/2016,289,36,33,308.593,30,1,2,1,8
131,0,0,0,1,13/01/2016,118,10,37,308.593,28,1,0,0,2
132,0,0,0,1,21/01/2016,184,42,27,308.593,21,1,0,0,2
133,0,0,0,1,28/01/2016,118,10,37,308.593,28,1,0,0,2
134,0,0,0,1,25/01/2016,118,10,37,308.593,28,1,0,0,0
135,0,0,0,1,26/01/2016,225,26,28,308.593,24,1,1,2,1
136,0,0,0,1,28/01/2016,289,36,33,308.593,30,1,2,1,3
137,0,0,0,1,05/02/2016,184,42,27,302.585,21,1,0,0,1
138,1,0,0,0,03/02/2016,246,25,41,302.585,23,1,0,0,8
139,1,0,0,0,10/02/2016,179,51,38,302.585,31,1,0,0,8
140,0,0,0,1,11/02/2016,155,12,34,302.585,25,1,2,0,2
141,0,0,0,1,11/02/2016,189,29,33,302.585,25,1,2,2,8
142,0,0,0,1,12/02/2016,260,50,36,302.585,23,1,4,0,2
143,0,0,0,1,12/02/2016,289,36,33,302.585,30,1,2,1,8
144,1,0,0,0,08/02/2016,388,15,50,302.585,24,1,0,0,8
145,1,0,0,0,09/02/2016,388,15,50,302.585,24,1,0,0,8
146,0,0,0,1,15/02/2016,225,26,28,302.585,24,1,1,2,2
147,0,0,0,1,09/02/2016,225,26,28,302.585,24,1,1,2,2
148,0,0,0,1,16/02/2016,179,26,30,302.585,19,3,0,0,1
149,0,0,0,1,23/02/2016,184,42,27,302.585,21,1,0,0,8
150,0,0,0,1,25/02/2016,225,26,28,302.585,24,1,1,2,3
151,0,0,1,0,15/02/2016,330,16,28,302.585,25,2,0,0,8
152,0,0,0,1,16/02/2016,330,16,28,302.585,25,2,0,0,1
153,0,0,0,1,17/02/2016,225,26,28,302.585,24,1,1,2,1
154,0,0,1,0,25/02/2016,189,29,33,302.585,25,1,2,2,8
155,0,0,0,1,01/03/2016,291,50,32,343.253,23,1,0,0,2
156,0,0,1,0,01/03/2016,260,50,36,343.253,23,1,4,0,8
157,0,0,1,0,08/03/2016,157,27,29,343.253,22,1,0,0,3
158,0,1,0,0,15/03/2016,179,22,40,343.253,22,2,2,0,8
159,0,0,0,1,16/03/2016,291,31,40,343.253,25,1,1,1,8
160,1,0,0,0,02/03/2016,260,50,36,343.253,23,1,4,0,8
161,1,0,0,0,03/03/2016,179,26,30,343.253,19,3,0,0,8
162,1,0,0,0,04/03/2016,248,25,47,343.253,32,1,2,1,3
163,1,0,0,0,04/03/2016,260,50,36,343.253,23,1,4,0,40
164,1,0,0,0,07/03/2016,179,22,40,343.253,22,2,2,0,40
165,1,0,0,0,14/03/2016,155,12,34,343.253,25,1,2,0,16
166,0,0,0,1,21/03/2016,260,50,36,343.253,23,1,4,0,16
167,1,0,0,0,22/03/2016,155,12,34,343.253,25,1,2,0,8
168,1,0,0,0,24/03/2016,289,36,33,343.253,30,1,2,1,8
169,1,0,0,0,24/03/2016,179,22,40,343.253,22,2,2,0,8
170,0,0,0,1,25/03/2016,260,50,36,343.253,23,1,4,0,4
171,0,0,0,1,25/03/2016,225,26,28,343.253,24,1,1,2,1
172,1,0,0,0,28/03/2016,279,5,39,343.253,24,1,2,0,8
173,1,0,0,0,29/03/2016,179,51,38,343.253,31,1,0,0,24
174,0,0,0,1,30/03/2016,225,26,28,343.253,24,1,1,2,2
175,1,0,0,0,28/03/2016,225,26,28,343.253,24,1,1,2,8
176,1,0,0,0,28/03/2016,179,26,30,343.253,19,3,0,0,1
177,1,0,0,0,29/03/2016,225,26,28,343.253,24,1,1,2,8
178,1,0,0,0,30/03/2016,225,26,28,343.253,24,1,1,2,16
179,1,0,0,0,30/03/2016,179,51,38,343.253,31,1,0,0,3
180,1,0,0,0,17/03/2016,279,5,39,343.253,24,1,2,0,16
181,0,0,0,1,18/03/2016,225,26,28,343.253,24,1,1,2,2
182,1,0,0,0,25/03/2016,248,25,47,343.253,32,1,2,1,3
183,0,0,0,1,28/03/2016,225,26,28,343.253,24,1,1,2,1
184,0,0,0,1,06/04/2016,291,31,40,326.452,25,1,1,1,1
185,0,0,0,1,13/04/2016,225,26,28,326.452,24,1,1,2,1
186,0,0,0,1,12/04/2016,155,12,34,326.452,25,1,2,0,1
187,1,0,0,0,13/04/2016,246,25,41,326.452,23,1,0,0,24
188,0,0,0,1,14/04/2016,155,12,34,326.452,25,1,2,0,1
189,0,0,0,1,15/04/2016,225,26,28,326.452,24,1,1,2,2
190,0,0,0,1,15/04/2016,260,50,36,326.452,23,1,4,0,4
191,1,0,0,0,06/04/2016,179,51,38,326.452,31,1,0,0,24
192,0,0,0,1,07/04/2016,118,13,50,326.452,31,1,1,0,1
193,0,0,0,1,08/04/2016,291,31,40,326.452,25,1,1,1,3
194,1,0,0,0,08/04/2016,246,25,41,326.452,23,1,0,0,8
195,0,0,0,1,22/04/2016,291,31,40,326.452,25,1,1,1,1
196,0,0,0,1,29/04/2016,248,25,47,326.452,32,1,2,1,8
197,0,0,1,0,29/04/2016,260,50,36,326.452,23,1,4,0,56
198,0,0,1,0,26/04/2016,289,36,33,326.452,30,1,2,1,8
199,1,0,0,0,27/04/2016,155,12,34,326.452,25,1,2,0,24
200,0,0,1,0,27/04/2016,378,49,36,326.452,21,1,2,4,8
201,1,0,0,0,28/04/2016,289,36,33,326.452,30,1,2,1,16
202,1,0,0,0,08/04/2016,235,11,37,326.452,29,3,1,1,3
203,0,0,0,0,04/04/2016,235,29,48,326.452,33,1,1,5,0
204,1,0,0,0,04/05/2016,289,36,33,378.884,30,1,2,1,8
205,0,0,0,1,05/05/2016,155,12,34,378.884,25,1,2,0,2
206,0,0,0,1,02/05/2016,155,12,34,378.884,25,1,2,0,1
207,0,0,1,0,03/05/2016,179,51,38,378.884,31,1,0,0,8
208,0,0,1,0,03/05/2016,225,26,28,378.884,24,1,1,2,8
209,1,0,0,0,11/05/2016,184,42,27,378.884,21,1,0,0,4
210,0,0,0,1,09/05/2016,155,12,34,378.884,25,1,2,0,2
211,1,0,0,0,10/05/2016,179,51,38,378.884,31,1,0,0,1
212,1,0,0,0,04/05/2016,289,36,33,378.884,30,1,2,1,24
213,0,0,0,0,11/05/2016,279,5,39,378.884,24,1,2,0,0
214,0,0,0,0,18/05/2016,330,16,28,378.884,25,2,0,0,0
215,0,0,0,0,25/05/2016,378,49,36,378.884,21,1,2,4,0
216,0,0,0,0,25/05/2016,388,15,50,378.884,24,1,0,0,0
217,1,0,0,0,24/05/2016,179,51,38,378.884,31,1,0,0,1
218,1,0,0,0,11/05/2016,118,13,50,378.884,31,1,1,0,24
219,0,0,0,1,27/05/2016,361,52,28,378.884,27,1,1,4,8
220,0,0,1,0,06/06/2016,246,25,41,377.55,23,1,0,0,8
221,0,0,0,1,13/06/2016,361,52,28,377.55,27,1,1,4,8
222,1,0,0,0,14/06/2016,246,25,41,377.55,23,1,0,0,24
223,0,0,0,1,16/06/2016,291,31,40,377.55,25,1,1,1,4
224,1,0,0,0,17/06/2016,246,25,41,377.55,23,1,0,0,8
225,1,0,0,0,13/06/2016,179,51,38,377.55,31,1,0,0,8
226,0,0,0,1,20/06/2016,155,12,34,377.55,25,1,2,0,4
227,1,0,0,0,27/06/2016,246,25,41,377.55,23,1,0,0,8
228,1,0,0,0,29/06/2016,118,13,50,377.55,31,1,1,0,8
229,1,0,0,0,03/06/2016,235,11,37,377.55,29,3,1,1,16
230,0,0,0,1,07/06/2016,118,13,50,377.55,31,1,1,0,1
231,1,0,0,0,08/06/2016,118,13,50,377.55,31,1,1,0,80
232,0,0,0,1,09/06/2016,378,49,36,377.55,21,1,2,4,8
233,1,0,0,0,10/06/2016,179,51,38,377.55,31,1,0,0,2
234,0,0,0,1,20/06/2016,289,48,49,377.55,36,1,0,2,2
235,0,0,0,1,30/06/2016,225,26,28,377.55,24,1,1,2,2
236,0,0,1,0,05/07/2016,155,12,34,275.312,25,1,2,0,16
237,1,0,0,0,06/07/2016,118,13,50,275.312,31,1,1,0,8
238,1,0,0,0,08/07/2016,118,10,37,275.312,28,1,0,0,8
239,0,0,0,1,08/07/2016,118,10,37,275.312,28,1,0,0,4
240,0,0,0,1,12/07/2016,330,16,28,275.312,25,2,0,0,8
241,0,0,1,0,14/07/2016,179,26,30,275.312,19,3,0,0,8
242,0,0,0,1,15/07/2016,155,12,34,275.312,25,1,2,0,2
243,1,0,0,0,18/07/2016,330,16,28,275.312,25,2,0,0,8
244,1,0,0,0,19/07/2016,330,16,28,275.312,25,2,0,0,8
245,0,0,0,1,18/07/2016,157,27,29,275.312,22,1,0,0,3
246,0,0,0,1,19/07/2016,361,52,28,275.312,27,1,1,4,8
247,0,0,0,1,20/07/2016,289,36,33,275.312,30,1,2,1,8
248,0,0,0,1,21/07/2016,179,51,38,275.312,31,1,0,0,8
249,0,0,1,0,11/07/2016,289,36,33,275.312,30,1,2,1,32
250,0,0,1,0,14/07/2016,289,36,33,275.312,30,1,2,1,8
251,0,0,0,0,21/07/2016,260,50,36,275.312,23,1,4,0,0
252,0,0,1,0,04/08/2016,289,36,33,265.615,30,1,2,1,8
253,0,0,1,0,11/08/2016,157,27,29,265.615,22,1,0,0,3
254,0,0,0,1,07/08/2016,289,36,33,265.615,30,1,2,1,1
255,0,0,1,0,08/08/2016,228,14,58,265.615,22,1,2,1,8
256,1,0,0,0,10/08/2016,300,26,43,265.615,25,1,2,1,1
257,1,0,0,0,10/08/2016,300,26,43,265.615,25,1,2,1,2
258,0,0,0,1,11/08/2016,260,50,36,265.615,23,1,4,0,4
259,0,0,0,1,08/08/2016,289,36,33,265.615,30,1,2,1,4
260,0,0,0,1,09/08/2016,248,25,47,265.615,32,1,2,1,1
261,1,0,0,0,10/08/2016,268,11,33,265.615,25,2,0,0,8
262,0,0,0,1,10/08/2016,179,26,30,265.615,19,3,0,0,1
263,1,0,0,0,10/08/2016,118,13,50,265.615,31,1,1,0,3
264,0,0,0,1,14/08/2016,248,25,47,265.615,32,1,2,1,2
265,0,0,0,1,15/08/2016,235,11,37,265.615,29,3,1,1,1
266,0,0,0,1,17/08/2016,118,13,50,265.615,31,1,1,0,1
267,0,0,1,0,24/08/2016,235,11,37,265.615,29,3,1,1,8
268,1,0,0,0,08/08/2016,361,52,28,265.615,27,1,1,4,8
269,1,0,0,0,30/08/2016,184,42,27,265.615,21,1,0,0,8
270,1,0,0,0,05/09/2016,179,51,38,294.217,31,1,0,0,8
271,0,0,0,1,09/09/2016,179,51,38,294.217,31,1,0,0,3
272,0,0,1,0,07/09/2016,289,36,33,294.217,30,1,2,1,24
273,0,0,0,0,08/09/2016,235,20,43,294.217,38,1,1,0,0
274,1,0,0,0,12/09/2016,246,25,41,294.217,23,1,0,0,16
275,0,0,0,1,13/09/2016,291,31,40,294.217,25,1,1,1,3
276,0,0,0,0,13/09/2016,231,35,39,294.217,35,1,2,2,0
277,0,0,0,0,13/09/2016,291,50,32,294.217,23,1,0,0,0
278,1,0,0,0,14/09/2016,179,51,38,294.217,31,1,0,0,8
279,1,0,0,0,14/09/2016,246,25,41,294.217,23,1,0,0,32
280,0,0,0,1,15/09/2016,179,51,38,294.217,31,1,0,0,1
281,0,0,0,1,16/09/2016,291,31,40,294.217,25,1,1,1,4
282,0,0,0,1,16/09/2016,260,50,36,294.217,23,1,4,0,4
283,0,0,0,1,14/09/2016,235,20,43,294.217,38,1,1,0,8
284,0,0,0,1,15/09/2016,118,13,50,294.217,31,1,1,0,1
285,0,0,0,0,15/09/2016,235,20,43,294.217,38,1,1,0,0
286,0,0,0,1,16/09/2016,291,31,40,294.217,25,1,1,1,3
287,1,0,0,0,26/09/2016,291,31,40,294.217,25,1,1,1,40
288,1,0,0,0,26/09/2016,179,51,38,294.217,31,1,0,0,8
289,0,0,0,1,05/10/2016,289,36,33,265.017,30,1,2,1,8
290,0,0,0,1,05/10/2016,235,11,37,265.017,29,3,1,1,4
291,0,0,0,1,05/10/2016,289,36,33,265.017,30,1,2,1,8
292,0,0,0,1,06/10/2016,289,36,33,265.017,30,1,2,1,8
293,0,0,0,0,06/10/2016,118,13,50,265.017,31,1,1,0,0
294,0,0,0,0,06/10/2016,248,25,47,265.017,32,1,2,1,0
295,1,0,0,0,12/10/2016,179,26,30,265.017,19,3,0,0,8
296,1,0,0,0,12/10/2016,118,10,37,265.017,28,1,0,0,3
297,0,0,0,1,12/10/2016,369,17,31,265.017,25,1,3,0,8
298,0,0,0,1,14/10/2016,179,51,38,265.017,31,1,0,0,1
299,1,0,0,0,14/10/2016,179,26,30,265.017,19,3,0,0,64
300,0,0,0,0,14/10/2016,235,20,43,265.017,38,1,1,0,0
301,0,0,1,0,15/10/2016,289,36,33,265.017,30,1,2,1,16
302,0,0,0,1,16/10/2016,260,50,36,265.017,23,1,4,0,3
303,0,0,0,0,16/10/2016,235,20,43,265.017,38,1,1,0,0
304,0,0,0,1,19/10/2016,235,20,43,265.017,38,1,1,0,2
305,0,0,0,1,19/10/2016,235,20,43,265.017,38,1,1,0,2
306,0,0,0,1,20/10/2016,118,13,50,265.017,31,1,1,0,1
307,0,0,0,1,20/10/2016,291,31,40,265.017,25,1,1,1,4
308,0,0,0,1,22/10/2016,179,26,30,265.017,19,3,0,0,16
309,0,0,0,1,22/10/2016,118,13,50,265.017,31,1,1,0,1
310,1,0,0,0,26/10/2016,361,52,28,265.017,27,1,1,4,8
311,0,0,0,0,27/10/2016,260,50,36,265.017,23,1,4,0,0
312,0,0,0,0,27/10/2016,291,31,40,265.017,25,1,1,1,0
313,0,0,0,0,27/10/2016,157,27,29,265.017,22,1,0,0,0
314,1,0,0,0,28/10/2016,179,26,30,265.017,19,3,0,0,5
315,1,0,0,0,28/10/2016,179,26,30,265.017,19,3,0,0,5
316,0,0,0,1,29/10/2016,118,13,50,265.017,31,1,1,0,1
317,1,0,0,0,07/11/2016,118,10,37,284.031,28,1,0,0,8
318,0,0,0,1,07/11/2016,248,25,47,284.031,32,1,2,1,2
319,1,0,0,0,08/11/2016,179,51,38,284.031,31,1,0,0,8
320,0,0,0,1,11/11/2016,260,50,36,284.031,23,1,4,0,3
321,0,0,0,1,14/11/2016,291,31,40,284.031,25,1,1,1,1
322,1,0,0,0,14/11/2016,378,49,36,284.031,21,1,2,4,8
323,1,0,0,0,14/11/2016,155,12,34,284.031,25,1,2,0,120
324,0,0,0,1,14/11/2016,235,20,43,284.031,38,1,1,0,8
325,0,0,0,0,15/11/2016,330,16,28,284.031,25,2,0,0,0
326,0,0,1,0,16/11/2016,235,11,37,284.031,29,3,1,1,1
327,1,0,0,0,16/11/2016,118,10,37,284.031,28,1,0,0,3
328,0,0,0,1,17/11/2016,235,11,37,284.031,29,3,1,1,2
329,0,0,0,1,17/11/2016,179,51,38,284.031,31,1,0,0,3
330,1,0,0,0,18/11/2016,246,25,41,284.031,23,1,0,0,8
331,1,0,0,0,18/11/2016,291,31,40,284.031,25,1,1,1,4
332,1,0,0,0,21/11/2016,246,25,41,284.031,23,1,0,0,8
333,0,0,0,1,22/11/2016,179,51,38,284.031,31,1,0,0,1
334,1,0,0,0,23/11/2016,260,50,36,284.031,23,1,4,0,8
335,0,1,0,0,25/11/2016,260,50,36,284.031,23,1,4,0,8
336,0,0,0,0,25/11/2016,378,49,36,284.031,21,1,2,4,0
337,0,0,0,0,29/11/2016,279,5,39,284.031,24,1,2,0,0
338,0,0,0,1,24/11/2016,179,51,38,284.031,31,1,0,0,1
339,1,0,0,0,05/12/2016,225,26,28,236.629,24,1,1,2,3
340,0,0,0,1,05/12/2016,179,51,38,236.629,31,1,0,0,2
341,0,0,0,1,05/12/2016,179,51,38,236.629,31,1,0,0,1
342,0,0,0,1,05/12/2016,235,11,37,236.629,29,3,1,1,3
343,0,0,0,1,06/12/2016,118,13,50,236.629,31,1,1,0,1
344,0,0,0,1,09/12/2016,260,50,36,236.629,23,1,4,0,4
345,1,0,0,0,15/12/2016,246,25,41,236.629,23,1,0,0,8
346,0,0,0,1,15/12/2016,179,51,38,236.629,31,1,0,0,1
347,0,0,0,1,16/12/2016,179,51,38,236.629,31,1,0,0,1
348,0,0,0,1,20/12/2016,179,26,30,236.629,19,3,0,0,1
